json.hpp:459:  Missing space after ,  [whitespace/comma] [3]
json.hpp:461:  Missing space after ,  [whitespace/comma] [3]
json.hpp:467:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:468:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:475:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:475:  Missing space after ,  [whitespace/comma] [3]
json.hpp:477:  Missing space after ,  [whitespace/comma] [3]
json.hpp:484:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:486:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:488:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:490:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:497:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:497:  Missing space after ,  [whitespace/comma] [3]
json.hpp:499:  Missing space after ,  [whitespace/comma] [3]
json.hpp:506:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:513:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:513:  Missing space after ,  [whitespace/comma] [3]
json.hpp:515:  Missing space after ,  [whitespace/comma] [3]
json.hpp:522:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:524:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:531:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:531:  Missing space after ,  [whitespace/comma] [3]
json.hpp:533:  Missing space after ,  [whitespace/comma] [3]
json.hpp:540:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:542:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:544:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:551:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:551:  Missing space after ,  [whitespace/comma] [3]
json.hpp:553:  Missing space after ,  [whitespace/comma] [3]
json.hpp:567:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
