DisplayGUI.h:152:  protected: should be indented +1 space inside class TConnectionThread  [whitespace/indent] [3]
DisplayGUI.h:153:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:154:  public: should be indented +1 space inside class TConnectionThread  [whitespace/indent] [3]
DisplayGUI.h:155:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:156:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:161:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
DisplayGUI.h:162:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:162:  At least two spaces is best between code and comments  [whitespace/comments] [2]
DisplayGUI.h:163:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:164:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:165:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:166:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:167:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:168:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:169:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:170:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:171:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:172:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:173:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:174:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:175:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:176:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:177:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:178:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:179:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:180:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:181:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:182:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:183:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:183:  Should have a space between // and comment  [whitespace/comments] [4]
DisplayGUI.h:184:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:184:  Should have a space between // and comment  [whitespace/comments] [4]
DisplayGUI.h:185:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:186:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:187:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:188:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:189:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:190:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:191:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:192:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:193:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:194:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:195:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:196:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:197:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:198:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:199:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:200:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:201:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:202:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:203:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:204:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:205:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:206:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:207:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:208:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:209:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:209:  Should have a space between // and comment  [whitespace/comments] [4]
DisplayGUI.h:210:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:211:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:212:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:213:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:214:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:215:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:216:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:217:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:218:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:219:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:220:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:221:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:222:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:223:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:224:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:225:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:226:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:227:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:228:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:229:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:230:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:231:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:232:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:233:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:234:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:235:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:236:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:237:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:238:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:239:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:240:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:241:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:242:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:243:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:244:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:245:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:246:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:247:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:248:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:249:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:250:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:251:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:252:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:253:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:254:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:255:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:256:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:257:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:258:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:259:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:260:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:261:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:262:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:263:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:264:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:265:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:266:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:267:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:268:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:269:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:270:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:271:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:272:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:273:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:274:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:275:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:276:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:277:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:278:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:279:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:280:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:281:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:282:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:283:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:284:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:285:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:286:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:287:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:288:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:289:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:290:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:291:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:292:  Tab found; better to use spaces  [whitespace/tab] [1]
DisplayGUI.h:293:  Tab found; better to use spaces  [whitespace/tab] [1]
